pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens angļu valodā 9.klasei 9. klase,Mazozolu filiāle,79.50,3
Eksāmens angļu valodā 9.klasei 9. klase,Mazsalacas vidusskola,76.61,14
Eksāmens angļu valodā 9.klasei 9. klase,Mazzalves pamatskola,85.25,4
Eksāmens angļu valodā 9.klasei 9. klase,Meņģeles filiāle,85.25,2
Eksāmens angļu valodā 9.klasei 9. klase,Mērdzenes pamatskola,89.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Mērsraga vidusskola,81.80,20
Eksāmens angļu valodā 9.klasei 9. klase,Mežāres pamatskola,88.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Mežciema pamatskola,80.03,40
Eksāmens angļu valodā 9.klasei 9. klase,Mežinieku pamatskola,70.10,5
Eksāmens angļu valodā 9.klasei 9. klase,Mežvidu pamatskola,89.90,5
Eksāmens angļu valodā 9.klasei 9. klase,Misas pamatskola,67.58,6
Eksāmens angļu valodā 9.klasei 9. klase,Mores pamatskola,65.75,2
Eksāmens angļu valodā 9.klasei 9. klase,Murjāņu sporta ģimnāzija,70.69,27
Eksāmens angļu valodā 9.klasei 9. klase,Naujenes pamatskola,68.50,2
Eksāmens angļu valodā 9.klasei 9. klase,Naukšēnu vidusskola,67.71,12
Eksāmens angļu valodā 9.klasei 9. klase,Nautrēnu vidusskola,79.00,9
Eksāmens angļu valodā 9.klasei 9. klase,Neretas Jāņa Jaunsudrabiņa vidusskola,80.17,6
Eksāmens angļu valodā 9.klasei 9. klase,Nīcas vidusskola,81.46,25
Eksāmens angļu valodā 9.klasei 9. klase,Nīgrandes pagasta Kalnu vidusskola,69.20,10
Eksāmens angļu valodā 9.klasei 9. klase,Nīkrāces pamatskola,60.08,6
Eksāmens angļu valodā 9.klasei 9. klase,Nītaures mūzikas un mākslas pamatskola,78.63,8
Eksāmens angļu valodā 9.klasei 9. klase,O.Kalpaka Rīgas Tautas daiļamatu pamatskola,82.12,37
Eksāmens angļu valodā 9.klasei 9. klase,Ogres 1. vidusskola,77.67,92
Eksāmens angļu valodā 9.klasei 9. klase,Ogres Valsts ģimnāzija,79.93,102
Eksāmens angļu valodā 9.klasei 9. klase,Ogresgala pamatskola,70.00,12
Eksāmens angļu valodā 9.klasei 9. klase,Ojāra Vācieša Gaujienas pamatskola,78.50,11
Eksāmens angļu valodā 9.klasei 9. klase,Olaines 1. vidusskola,80.28,41
Eksāmens angļu valodā 9.klasei 9. klase,Olaines 2. vidusskola,55.82,65
Eksāmens angļu valodā 9.klasei 9. klase,Oskara Kalpaka Liepājas 15. vidusskola,77.56,48
Eksāmens angļu valodā 9.klasei 9. klase,Ozolnieku vidusskola,81.78,36
Eksāmens angļu valodā 9.klasei 9. klase,Pāles pamatskola,48.43,7
Eksāmens angļu valodā 9.klasei 9. klase,Palsmanes pamatskola,63.42,12
Eksāmens angļu valodā 9.klasei 9. klase,"Pamatskola ""Rīdze""",85.25,53
Eksāmens angļu valodā 9.klasei 9. klase,Pastendes pamatskola,77.11,14
Eksāmens angļu valodā 9.klasei 9. klase,Pāvilostas pamatskola,89.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Penkules pamatskola,63.50,8
Eksāmens angļu valodā 9.klasei 9. klase,Pilsrundāles vidusskola,77.83,15
Eksāmens angļu valodā 9.klasei 9. klase,Piltenes pamatskola,72.55,10
Eksāmens angļu valodā 9.klasei 9. klase,Pļaviņu vidusskola,74.63,27
Eksāmens angļu valodā 9.klasei 9. klase,Popes pamatskola,75.50,8
Eksāmens angļu valodā 9.klasei 9. klase,Praulienas pamatskola,65.90,5
Eksāmens angļu valodā 9.klasei 9. klase,Preiļu 1. pamatskola,78.03,20
Eksāmens angļu valodā 9.klasei 9. klase,Preiļu 2. vidusskola,40.91,16
Eksāmens angļu valodā 9.klasei 9. klase,Priekules vidusskola,80.93,27
Eksāmens angļu valodā 9.klasei 9. klase,Priekuļu vidusskola,76.10,45
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā pamatskola ""Gaismas tilts 97""",85.71,7
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā pamatskola ""Maksima""",58.25,2
Eksāmens angļu valodā 9.klasei 9. klase,Privātā pamatskola ZAĻĀ SKOLA,52.50,3
Eksāmens angļu valodā 9.klasei 9. klase,Privātā Rīgas Tehnolingvistiskā ģimnāzija,68.50,2
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā vidusskola ""Citruss""",98.50,1
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā vidusskola ""INNOVA""",58.25,4
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā vidusskola ""Klasika""",69.20,5
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā vidusskola ""Laisma""",92.83,6
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā vidusskola ""Patnis""",89.86,11
Eksāmens angļu valodā 9.klasei 9. klase,"Privātā vidusskola ""Templum""",79.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Privātā vidusskola Ādažu Brīvā Valdorfa skola,83.52,24
Eksāmens angļu valodā 9.klasei 9. klase,"Privātskola ""Latreia""",75.38,12
Eksāmens angļu valodā 9.klasei 9. klase,Pūņu pamatskola,76.75,6
Eksāmens angļu valodā 9.klasei 9. klase,Pūres pamatskola,65.21,7
Eksāmens angļu valodā 9.klasei 9. klase,Puškina licejs,62.79,46
Eksāmens angļu valodā 9.klasei 9. klase,Puzes pamatskola,88.00,6
