pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens matemātikā 9.klasei 9. klase,Brocēnu vidusskola,41.78,36
Eksāmens matemātikā 9.klasei 9. klase,Burtnieku Ausekļa pamatskola,48.50,8
Eksāmens matemātikā 9.klasei 9. klase,Carnikavas pamatskola,51.05,21
Eksāmens matemātikā 9.klasei 9. klase,Cēres pamatskola,45.17,8
Eksāmens matemātikā 9.klasei 9. klase,Cēsu 1. pamatskola,52.55,34
Eksāmens matemātikā 9.klasei 9. klase,Cēsu 2. pamatskola,66.36,22
Eksāmens matemātikā 9.klasei 9. klase,Cēsu Bērzaines pamatskola-attīstības centrs,60.00,11
Eksāmens matemātikā 9.klasei 9. klase,Cēsu Pilsētas vidusskola,37.88,49
Eksāmens matemātikā 9.klasei 9. klase,Cēsu Valsts ģimnāzija,72.52,41
Eksāmens matemātikā 9.klasei 9. klase,Cesvaines vidusskola,52.18,29
Eksāmens matemātikā 9.klasei 9. klase,Ciblas vidusskola,41.93,9
Eksāmens matemātikā 9.klasei 9. klase,Cieceres pamatskola,34.55,11
Eksāmens matemātikā 9.klasei 9. klase,Codes pamatskola,50.93,10
Eksāmens matemātikā 9.klasei 9. klase,Dagdas vidusskola,44.93,33
Eksāmens matemātikā 9.klasei 9. klase,Daudzeses pamatskola,51.64,11
Eksāmens matemātikā 9.klasei 9. klase,Daugavgrīvas cietums,49.33,9
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 10. vidusskola,59.70,54
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 11. pamatskola,30.12,17
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 12. vidusskola,55.41,45
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 13. vidusskola,55.55,68
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 15. vidusskola,56.95,70
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 16. vidusskola,59.09,47
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 17. vidusskola,51.24,14
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 3. vidusskola,65.72,66
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils 9. vidusskola,61.19,54
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils Centra vidusskola,65.00,40
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils Saskaņas pamatskola,62.48,44
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils Tehnoloģiju vidusskola - licejs,79.89,58
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils Valsts ģimnāzija,67.57,37
Eksāmens matemātikā 9.klasei 9. klase,Daugavpils Vienības pamatskola,38.46,26
Eksāmens matemātikā 9.klasei 9. klase,Daugmales pamatskola,54.30,11
Eksāmens matemātikā 9.klasei 9. klase,Dāvja Ozoliņa Apes pamatskola,37.02,17
Eksāmens matemātikā 9.klasei 9. klase,Degumnieku pamatskola,53.47,10
Eksāmens matemātikā 9.klasei 9. klase,Dekšāru pamatskola,57.33,6
Eksāmens matemātikā 9.klasei 9. klase,Dienvidkurzemes 2. vidusskola,38.67,6
Eksāmens matemātikā 9.klasei 9. klase,Dignājas pamatskola,37.33,3
Eksāmens matemātikā 9.klasei 9. klase,Dobeles 1. vidusskola,30.85,51
Eksāmens matemātikā 9.klasei 9. klase,Dobeles Amatniecības un vispārizglītojošā vidusskola,26.48,7
Eksāmens matemātikā 9.klasei 9. klase,Dobeles Valsts ģimnāzija,70.25,58
Eksāmens matemātikā 9.klasei 9. klase,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,50.85,22
Eksāmens matemātikā 9.klasei 9. klase,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,43.61,89
Eksāmens matemātikā 9.klasei 9. klase,Dricānu vidusskola,37.88,22
Eksāmens matemātikā 9.klasei 9. klase,Drustu struktūrvienība,33.33,3
Eksāmens matemātikā 9.klasei 9. klase,Druvas vidusskola,42.00,42
Eksāmens matemātikā 9.klasei 9. klase,Dundagas vidusskola,41.13,20
Eksāmens matemātikā 9.klasei 9. klase,Dzelzavas pamatskola,52.00,6
Eksāmens matemātikā 9.klasei 9. klase,Dzērbenes vispārizglītojošā un mūzikas pamatskola,48.67,2
Eksāmens matemātikā 9.klasei 9. klase,Dzērves pamatskola,54.79,11
Eksāmens matemātikā 9.klasei 9. klase,Džūkstes pamatskola,33.71,7
Eksāmens matemātikā 9.klasei 9. klase,Edgara Kauliņa Lielvārdes vidusskola,49.64,39
Eksāmens matemātikā 9.klasei 9. klase,Ēdoles pamatskola,49.56,6
Eksāmens matemātikā 9.klasei 9. klase,Eglaines pamatskola,58.67,6
Eksāmens matemātikā 9.klasei 9. klase,Elejas vidusskola,46.43,28
Eksāmens matemātikā 9.klasei 9. klase,Emīla Dārziņa mūzikas skola,52.72,39
Eksāmens matemātikā 9.klasei 9. klase,Engures vidusskola,38.98,21
Eksāmens matemātikā 9.klasei 9. klase,Ērģemes pamatskola,47.33,4
Eksāmens matemātikā 9.klasei 9. klase,Ērgļu vidusskola,47.70,22
Eksāmens matemātikā 9.klasei 9. klase,Ernsta Glika Alūksnes Valsts ģimnāzija,55.71,55
Eksāmens matemātikā 9.klasei 9. klase,Ezeres pamatskola,58.22,9
Eksāmens matemātikā 9.klasei 9. klase,Ezernieku vidusskola,51.67,16
Eksāmens matemātikā 9.klasei 9. klase,Feimaņu pamatskola,43.50,8
Eksāmens matemātikā 9.klasei 9. klase,Friča Brīvzemnieka pamatskola,44.67,26
Eksāmens matemātikā 9.klasei 9. klase,Gaigalavas pamatskola,45.33,6
Eksāmens matemātikā 9.klasei 9. klase,Galēnu pamatskola,46.48,7
Eksāmens matemātikā 9.klasei 9. klase,Gardenes pamatskola,32.76,14
Eksāmens matemātikā 9.klasei 9. klase,Garkalnes Mākslu un vispārizglītojošā pamatskola,50.38,23
Eksāmens matemātikā 9.klasei 9. klase,Garlība Merķeļa Lēdurgas pamatskola,60.67,10
Eksāmens matemātikā 9.klasei 9. klase,Garozas pamatskola,34.89,6
Eksāmens matemātikā 9.klasei 9. klase,Griķu pamatskola,56.78,12
Eksāmens matemātikā 9.klasei 9. klase,Grundzāles pamatskola,56.76,7
Eksāmens matemātikā 9.klasei 9. klase,Gulbenes novada vidusskola,41.82,96
Eksāmens matemātikā 9.klasei 9. klase,Gulbīša pamatskola,33.20,10
Eksāmens matemātikā 9.klasei 9. klase,Iecavas pamatskola,28.75,16
Eksāmens matemātikā 9.klasei 9. klase,Iecavas vidusskola,43.53,71
Eksāmens matemātikā 9.klasei 9. klase,Ikšķiles vidusskola,57.17,91
Eksāmens matemātikā 9.klasei 9. klase,Iļģuciema vidusskola,44.63,36
Eksāmens matemātikā 9.klasei 9. klase,Ilmāra Gaiša Kokneses vidusskola,31.86,37
Eksāmens matemātikā 9.klasei 9. klase,Ilūkstes Raiņa vidusskola,51.32,45
Eksāmens matemātikā 9.klasei 9. klase,Inčukalna pamatskola,33.05,14
Eksāmens matemātikā 9.klasei 9. klase,Indras pamatskola,47.33,4
Eksāmens matemātikā 9.klasei 9. klase,"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",66.29,7
Eksāmens matemātikā 9.klasei 9. klase,Irlavas pamatskola,39.08,13
Eksāmens matemātikā 9.klasei 9. klase,Īslīces pamatskola,38.97,13
Eksāmens matemātikā 9.klasei 9. klase,J. Čakstes Liepājas pilsētas 10. vidusskola,41.19,57
Eksāmens matemātikā 9.klasei 9. klase,J. Endzelīna Kauguru pamatskola,55.90,13
Eksāmens matemātikā 9.klasei 9. klase,J. Raiņa Daugavpils 6. pamatskola,41.58,16
Eksāmens matemātikā 9.klasei 9. klase,J.G.Herdera Rīgas Grīziņkalna vidusskola,41.71,71
Eksāmens matemātikā 9.klasei 9. klase,J.Pilsudska Daugavpils valsts poļu ģimnāzija,49.94,24
Eksāmens matemātikā 9.klasei 9. klase,Jāņa Eglīša Preiļu Valsts ģimnāzija,56.16,17
Eksāmens matemātikā 9.klasei 9. klase,Jankas Kupalas Rīgas Baltkrievu pamatskola,62.00,10
Eksāmens matemātikā 9.klasei 9. klase,Jaunannas Mūzikas un mākslas pamatskola,66.00,2
Eksāmens matemātikā 9.klasei 9. klase,Jaunciema pamatskola,46.10,7
Eksāmens matemātikā 9.klasei 9. klase,Jaunjelgavas vidusskola,39.33,16
Eksāmens matemātikā 9.klasei 9. klase,Jaunmārupes pamatskola,53.10,52
Eksāmens matemātikā 9.klasei 9. klase,Jauno Līderu vidusskola,46.67,9
Eksāmens matemātikā 9.klasei 9. klase,Jaunogres vidusskola,50.29,60
Eksāmens matemātikā 9.klasei 9. klase,Jaunpiebalgas vidusskola,52.89,27
Eksāmens matemātikā 9.klasei 9. klase,Jaunpils vidusskola,59.33,18
Eksāmens matemātikā 9.klasei 9. klase,Jaunsilavas pamatskola,57.33,7
Eksāmens matemātikā 9.klasei 9. klase,Jēkabpils 2. vidusskola,55.56,42
Eksāmens matemātikā 9.klasei 9. klase,Jēkabpils 3. vidusskola,47.07,66
Eksāmens matemātikā 9.klasei 9. klase,Jēkabpils Valsts ģimnāzija,53.27,105
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas 4. vidusskola,40.69,81
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas 5. vidusskola,47.78,42
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas Amatu vidusskola,33.58,32
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas Centra pamatskola,32.43,34
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas cietums,35.33,2
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas novada Neklātienes vidusskola,22.55,11
Eksāmens matemātikā 9.klasei 9. klase,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",67.56,3
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas Pārlielupes pamatskola,41.60,54
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas Spīdolas Valsts ģimnāzija,58.86,97
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas Tehnoloģiju vidusskola,42.76,71
Eksāmens matemātikā 9.klasei 9. klase,Jelgavas Valsts ģimnāzija,61.57,142
Eksāmens matemātikā 9.klasei 9. klase,Jersikas pamatskola,48.17,8
Eksāmens matemātikā 9.klasei 9. klase,Jumpravas pamatskola,48.80,10
Eksāmens matemātikā 9.klasei 9. klase,Jura Neikena Dikļu pamatskola,33.20,10
Eksāmens matemātikā 9.klasei 9. klase,JŪRMALA,25.93,9
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Aspazijas pamatskola,64.97,11
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Jaundubultu vidusskola,46.31,34
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Kauguru vidusskola,55.04,50
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Ķemeru pamatskola,60.80,15
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Majoru vidusskola,61.10,40
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Mežmalas vidusskola,48.57,35
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Pumpuru vidusskola,45.22,48
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Slokas pamatskola,56.21,25
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Vaivaru pamatskola,37.24,15
Eksāmens matemātikā 9.klasei 9. klase,Jūrmalas Valsts ģimnāzija,63.52,61
Eksāmens matemātikā 9.klasei 9. klase,Kalētu Mūzikas un mākslas pamatskola,44.74,9
Eksāmens matemātikā 9.klasei 9. klase,Kalnciema pagasta vidusskola,52.13,10
Eksāmens matemātikā 9.klasei 9. klase,Kalnciema vidusskola,49.94,22
Eksāmens matemātikā 9.klasei 9. klase,Kalsnavas pamatskola,38.96,9
Eksāmens matemātikā 9.klasei 9. klase,Kalupes pamatskola,52.67,2
Eksāmens matemātikā 9.klasei 9. klase,Kalvenes pamatskola,51.33,6
Eksāmens matemātikā 9.klasei 9. klase,Kandavas Kārļa Mīlenbaha vidusskola,55.39,48
Eksāmens matemātikā 9.klasei 9. klase,Kandavas Reģionālā pamatskola,29.10,17
Eksāmens matemātikā 9.klasei 9. klase,Kārsavas vidusskola,44.99,23
Eksāmens matemātikā 9.klasei 9. klase,Kaunatas vidusskola,50.27,20
Eksāmens matemātikā 9.klasei 9. klase,Ķeguma vidusskola,37.22,35
Eksāmens matemātikā 9.klasei 9. klase,Ķeipenes pamatskola,62.67,4
Eksāmens matemātikā 9.klasei 9. klase,Ķekavas vidusskola,50.85,101
Eksāmens matemātikā 9.klasei 9. klase,Kocēnu pamatskola,54.44,24
Eksāmens matemātikā 9.klasei 9. klase,Kolkas pamatskola,41.60,5
Eksāmens matemātikā 9.klasei 9. klase,Krāslavas ģimnāzija,50.61,51
Eksāmens matemātikā 9.klasei 9. klase,Krāslavas gr. Plāteru v.n. Poļu pamatskola,45.52,7
Eksāmens matemātikā 9.klasei 9. klase,Krāslavas Varavīksnes vidusskola,46.36,39
Eksāmens matemātikā 9.klasei 9. klase,Krimuldas vidusskola,38.21,26
Eksāmens matemātikā 9.klasei 9. klase,Kristiāna Dāvida pamatskola,55.47,5
Eksāmens matemātikā 9.klasei 9. klase,Krotes Kronvalda Ata pamatskola,40.89,6
Eksāmens matemātikā 9.klasei 9. klase,Krustpils pamatskola,40.60,20
Eksāmens matemātikā 9.klasei 9. klase,Kuldīgas 2. vidusskola,37.78,33
Eksāmens matemātikā 9.klasei 9. klase,Kuldīgas Centra vidusskola,44.91,41
Eksāmens matemātikā 9.klasei 9. klase,Kuldīgas Mākslas un humanitāro zinību vidusskola,55.31,27
Eksāmens matemātikā 9.klasei 9. klase,Kusas pamatskola,44.19,7
Eksāmens matemātikā 9.klasei 9. klase,Lāču pamatskola,41.33,9
Eksāmens matemātikā 9.klasei 9. klase,Lādezera pamatskola,40.00,11
Eksāmens matemātikā 9.klasei 9. klase,Laidu pamatskola,70.33,4
Eksāmens matemātikā 9.klasei 9. klase,Lapmežciema pamatskola,49.25,16
Eksāmens matemātikā 9.klasei 9. klase,Latvijas Zinātņu tālmācības vidusskola,41.10,73
Eksāmens matemātikā 9.klasei 9. klase,Laucesas pamatskola,56.44,6
Eksāmens matemātikā 9.klasei 9. klase,Laucienes pamatskola,56.40,10
Eksāmens matemātikā 9.klasei 9. klase,Lazdonas pamatskola,20.67,6
Eksāmens matemātikā 9.klasei 9. klase,Lēdmanes pamatskola,33.82,11
Eksāmens matemātikā 9.klasei 9. klase,Lejasciema vidusskola,44.67,12
Eksāmens matemātikā 9.klasei 9. klase,Lielvārdes pamatskola,43.29,30
Eksāmens matemātikā 9.klasei 9. klase,Liepājas 3. pamatskola,38.89,24
Eksāmens matemātikā 9.klasei 9. klase,Liepājas 7. vidusskola,32.02,63
Eksāmens matemātikā 9.klasei 9. klase,Liepājas 8. vidusskola,22.91,60
Eksāmens matemātikā 9.klasei 9. klase,Liepājas Katoļu pamatskola,50.89,18
Eksāmens matemātikā 9.klasei 9. klase,Liepājas Liedaga vidusskola,44.90,68
Eksāmens matemātikā 9.klasei 9. klase,Liepājas Raiņa 6. vidusskola,41.14,81
Eksāmens matemātikā 9.klasei 9. klase,Liepājas Valsts 1. ģimnāzija,54.67,105
Eksāmens matemātikā 9.klasei 9. klase,Liepas pamatskola,36.27,15
Eksāmens matemātikā 9.klasei 9. klase,Liepu pamatskola,44.53,5
Eksāmens matemātikā 9.klasei 9. klase,Liepupes pamatskola,49.21,11
Eksāmens matemātikā 9.klasei 9. klase,Liezēres pamatskola,23.05,7
Eksāmens matemātikā 9.klasei 9. klase,Limbažu Valsts ģimnāzija,44.48,64
Eksāmens matemātikā 9.klasei 9. klase,Limbažu vidusskola,42.22,18
Eksāmens matemātikā 9.klasei 9. klase,Līvānu 1. vidusskola,50.10,35
Eksāmens matemātikā 9.klasei 9. klase,Līvānu 2. vidusskola,51.85,9
Eksāmens matemātikā 9.klasei 9. klase,Līvbērzes pamatskola,28.00,10
Eksāmens matemātikā 9.klasei 9. klase,Lizuma vidusskola,38.37,9
Eksāmens matemātikā 9.klasei 9. klase,Lubānas vidusskola,43.49,13
Eksāmens matemātikā 9.klasei 9. klase,Lūcijas Rancānes Makašānu Amatu vidusskola,50.89,6
Eksāmens matemātikā 9.klasei 9. klase,Ludzas 2. vidusskola,62.48,29
Eksāmens matemātikā 9.klasei 9. klase,Ludzas pilsētas vidusskola,47.23,57
Eksāmens matemātikā 9.klasei 9. klase,Lutriņu pamatskola,31.11,6
Eksāmens matemātikā 9.klasei 9. klase,Madlienas vidusskola,49.23,27
Eksāmens matemātikā 9.klasei 9. klase,Madonas pilsētas vidusskola,36.52,54
Eksāmens matemātikā 9.klasei 9. klase,Madonas Valsts ģimnāzija,63.24,44
Eksāmens matemātikā 9.klasei 9. klase,Malienas pamatskola,32.00,2
Eksāmens matemātikā 9.klasei 9. klase,Mālpils vidusskola,41.97,21
Eksāmens matemātikā 9.klasei 9. klase,Maltas vidusskola,51.37,38
Eksāmens matemātikā 9.klasei 9. klase,Mārupes pamatskola,55.07,36
Eksāmens matemātikā 9.klasei 9. klase,Mārupes Valsts ģimnāzija,57.77,154
Eksāmens matemātikā 9.klasei 9. klase,Māteru Jura Kazdangas pamatskola,28.59,9
Eksāmens matemātikā 9.klasei 9. klase,Matīšu pamatskola,44.59,9
Eksāmens matemātikā 9.klasei 9. klase,Mazozolu filiāle,55.56,3
Eksāmens matemātikā 9.klasei 9. klase,Mazsalacas vidusskola,47.20,15
Eksāmens matemātikā 9.klasei 9. klase,Mazzalves pamatskola,56.80,5
Eksāmens matemātikā 9.klasei 9. klase,Meņģeles filiāle,29.78,3
Eksāmens matemātikā 9.klasei 9. klase,Mērdzenes pamatskola,72.33,4
Eksāmens matemātikā 9.klasei 9. klase,Mērsraga vidusskola,34.98,21
Eksāmens matemātikā 9.klasei 9. klase,Mežāres pamatskola,48.89,3
Eksāmens matemātikā 9.klasei 9. klase,Mežciema pamatskola,58.51,43
Eksāmens matemātikā 9.klasei 9. klase,Mežinieku pamatskola,53.45,11
Eksāmens matemātikā 9.klasei 9. klase,Mežvidu pamatskola,61.83,8
Eksāmens matemātikā 9.klasei 9. klase,Misas pamatskola,30.53,10
Eksāmens matemātikā 9.klasei 9. klase,Mores pamatskola,41.07,5
Eksāmens matemātikā 9.klasei 9. klase,Murjāņu sporta ģimnāzija,43.42,30
Eksāmens matemātikā 9.klasei 9. klase,Naujenes pamatskola,61.33,11
Eksāmens matemātikā 9.klasei 9. klase,Naukšēnu vidusskola,47.22,12
Eksāmens matemātikā 9.klasei 9. klase,Nautrēnu vidusskola,55.16,19
Eksāmens matemātikā 9.klasei 9. klase,Neretas Jāņa Jaunsudrabiņa vidusskola,51.17,8
Eksāmens matemātikā 9.klasei 9. klase,Nīcas vidusskola,54.56,26
Eksāmens matemātikā 9.klasei 9. klase,Nīgrandes pagasta Kalnu vidusskola,47.60,10
Eksāmens matemātikā 9.klasei 9. klase,Nīkrāces pamatskola,52.44,9
Eksāmens matemātikā 9.klasei 9. klase,Nītaures mūzikas un mākslas pamatskola,46.33,8
Eksāmens matemātikā 9.klasei 9. klase,O.Kalpaka Rīgas Tautas daiļamatu pamatskola,46.57,40
Eksāmens matemātikā 9.klasei 9. klase,Ogres 1. vidusskola,46.96,105
Eksāmens matemātikā 9.klasei 9. klase,Ogres Valsts ģimnāzija,62.31,115
Eksāmens matemātikā 9.klasei 9. klase,Ogresgala pamatskola,49.33,14
Eksāmens matemātikā 9.klasei 9. klase,Ojāra Vācieša Gaujienas pamatskola,58.77,13
Eksāmens matemātikā 9.klasei 9. klase,Olaines 1. vidusskola,48.37,57
Eksāmens matemātikā 9.klasei 9. klase,Olaines 2. vidusskola,41.52,65
Eksāmens matemātikā 9.klasei 9. klase,Oskara Kalpaka Liepājas 15. vidusskola,34.40,70
Eksāmens matemātikā 9.klasei 9. klase,Ozolnieku vidusskola,57.61,44
Eksāmens matemātikā 9.klasei 9. klase,Pāles pamatskola,46.67,9
Eksāmens matemātikā 9.klasei 9. klase,Palsmanes pamatskola,50.67,14
Eksāmens matemātikā 9.klasei 9. klase,"Pamatskola ""Rīdze""",67.45,53
Eksāmens matemātikā 9.klasei 9. klase,Pamūšas speciālā pamatskola,8.67,2
Eksāmens matemātikā 9.klasei 9. klase,Pastendes pamatskola,45.71,14
Eksāmens matemātikā 9.klasei 9. klase,Pāvilostas pamatskola,56.95,7
Eksāmens matemātikā 9.klasei 9. klase,Pededzes pamatskola,46.86,7
Eksāmens matemātikā 9.klasei 9. klase,Pelēču pamatskola,51.11,6
Eksāmens matemātikā 9.klasei 9. klase,Penkules pamatskola,37.17,8
Eksāmens matemātikā 9.klasei 9. klase,Pildas pamatskola,58.22,9
Eksāmens matemātikā 9.klasei 9. klase,Pilsrundāles vidusskola,58.87,26
Eksāmens matemātikā 9.klasei 9. klase,Piltenes pamatskola,59.73,10
Eksāmens matemātikā 9.klasei 9. klase,Pļaviņu vidusskola,47.79,39
Eksāmens matemātikā 9.klasei 9. klase,Popes pamatskola,43.85,9
Eksāmens matemātikā 9.klasei 9. klase,Praulienas pamatskola,44.53,5
Eksāmens matemātikā 9.klasei 9. klase,Preiļu 1. pamatskola,51.02,34
Eksāmens matemātikā 9.klasei 9. klase,Preiļu 2. vidusskola,40.25,16
Eksāmens matemātikā 9.klasei 9. klase,Priekules vidusskola,37.79,29
Eksāmens matemātikā 9.klasei 9. klase,Priekuļu vidusskola,46.61,48
Eksāmens matemātikā 9.klasei 9. klase,Priežmalas pamatskola,43.11,3
Eksāmens matemātikā 9.klasei 9. klase,"Privātā pamatskola ""Gaismas tilts 97""",62.29,7
Eksāmens matemātikā 9.klasei 9. klase,"Privātā pamatskola ""Maksima""",67.33,2
Eksāmens matemātikā 9.klasei 9. klase,Privātā pamatskola ZAĻĀ SKOLA,35.56,3
Eksāmens matemātikā 9.klasei 9. klase,Privātā Rīgas Tehnolingvistiskā ģimnāzija,64.67,2
Eksāmens matemātikā 9.klasei 9. klase,"Privātā vidusskola ""Citruss""",68.44,3
Eksāmens matemātikā 9.klasei 9. klase,"Privātā vidusskola ""INNOVA""",61.33,4
Eksāmens matemātikā 9.klasei 9. klase,"Privātā vidusskola ""Klasika""",74.93,5
Eksāmens matemātikā 9.klasei 9. klase,"Privātā vidusskola ""Laisma""",70.17,8
Eksāmens matemātikā 9.klasei 9. klase,"Privātā vidusskola ""Patnis""",64.61,11
Eksāmens matemātikā 9.klasei 9. klase,"Privātā vidusskola ""Templum""",89.33,1
Eksāmens matemātikā 9.klasei 9. klase,Privātā vidusskola Ādažu Brīvā Valdorfa skola,47.33,24
Eksāmens matemātikā 9.klasei 9. klase,"Privātskola ""Latreia""",72.44,12
Eksāmens matemātikā 9.klasei 9. klase,Pūņu pamatskola,63.62,7
Eksāmens matemātikā 9.klasei 9. klase,Pūres pamatskola,41.33,10
Eksāmens matemātikā 9.klasei 9. klase,Puškina licejs,49.13,46
Eksāmens matemātikā 9.klasei 9. klase,Pušmucovas pamatskola,37.78,3
Eksāmens matemātikā 9.klasei 9. klase,Puzes pamatskola,54.67,6
Eksāmens matemātikā 9.klasei 9. klase,Rāmuļu pamatskola,51.33,4
Eksāmens matemātikā 9.klasei 9. klase,Randenes pamatskola,58.29,7
Eksāmens matemātikā 9.klasei 9. klase,Rankas pamatskola,32.44,6
Eksāmens matemātikā 9.klasei 9. klase,Raunas pamatskola,42.10,14
Eksāmens matemātikā 9.klasei 9. klase,Rekavas vidusskola,63.47,5
Eksāmens matemātikā 9.klasei 9. klase,Remtes pamatskola,32.89,3
Eksāmens matemātikā 9.klasei 9. klase,Rencēnu pamatskola,37.78,9
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes 2. vidusskola,57.39,45
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes 3. vidusskola,57.26,35
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes 4. vidusskola,53.60,20
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes 5. vidusskola,48.10,39
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes 6. pamatskola,61.23,63
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes Katoļu vidusskola,57.90,14
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes pamatskola-attīstības centrs,59.33,6
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes Valsts 1. ģimnāzija,60.35,92
Eksāmens matemātikā 9.klasei 9. klase,Rēzeknes valsts poļu ģimnāzija,57.05,42
Eksāmens matemātikā 9.klasei 9. klase,Rēznas pamatskola,63.00,8
Eksāmens matemātikā 9.klasei 9. klase,Riebiņu vidusskola,51.90,13
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 1. Kristīgā pamatskola,32.91,19
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 1. Tālmācības vidusskola,35.35,110
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 10. vidusskola,59.33,60
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 13. vidusskola,64.62,54
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 14. vidusskola,17.82,11
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 15. vidusskola,72.00,13
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 18. vidusskola,39.03,11
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 21. vidusskola,48.91,38
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 22. vidusskola,53.69,52
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 25. vidusskola,44.87,78
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 28. vidusskola,27.47,15
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 31. vidusskola,56.12,34
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 33. vidusskola,46.99,49
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 34. vidusskola,67.63,108
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 40. vidusskola,60.86,71
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 41. vidusskola,48.23,65
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 45. vidusskola,48.09,72
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 46. vidusskola,47.75,32
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 47. vidusskola,38.27,30
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 49. vidusskola,62.18,91
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 51. vidusskola,57.10,40
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 6. vidusskola,56.32,79
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 63. vidusskola,35.46,47
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 64. vidusskola,62.87,121
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 65. pamatskola,55.05,21
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 66. vidusskola,52.33,16
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 69. pamatskola,48.16,33
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 71. vidusskola,54.70,46
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 72. vidusskola,50.72,98
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 74. vidusskola,41.05,52
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 75. vidusskola,52.94,37
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 80. vidusskola,54.37,45
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 84. vidusskola,60.30,89
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 85. vidusskola,38.14,28
Eksāmens matemātikā 9.klasei 9. klase,Rīgas 86. vidusskola,42.09,30
