Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adreses ATVK kods,Pedagogu skaits (unikālie PK),"Pedagoģisko amatu vietu skaits, no tiem:",Arodmācības skolotājs/amatmācības skolotājs,Direktora vietnieks (izglītības jomā),Direktors (izglītības jomā),Diriģents,Horeogrāfs,Interešu izglītības skolotājs,"Internāta, dienesta viesnīcas skolotājs",Izglītības iestādes bibliotekārs,Izglītības iestādes bibliotekārs (ceturtā un trešā līmeņa kvalifikācija),Izglītības iestādes muzeju pedagogs,Izglītības metodiķis,Izglītības psihologs,Koncertmeistars,Pagarinātās dienas grupas skolotājs,Pamatdarbības struktūrvienības vadītāja vietnieks/ direktora vietnieks (izglītības jomā),Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (izglītības jomā),Pedagoga palīgs,Pedagogs karjeras konsultants,Pirmsskolas izglītības metodiķis,Pirmsskolas izglītības mūzikas skolotājs,Pirmsskolas izglītības skolotājs,Pirmsskolas izglītības sporta skolotājs,Profesionālās ievirzes skolotājs,Profesionālās izglītības skolotājs,Sākumizglītības skolotājs,Skolas direktora vietnieks,Skolas direktors,Skolotājs baleta mākslinieks,Skolotājs logopēds,Skolotājs mentors,Sociālais pedagogs,Speciālais pedagogs,Speciālās izglītības skolotājs,Sporta organizators,Sporta treneris,Sporta treneris ,Vadītāja vietnieks (izglītības jomā),Vadītāja vietnieks/direktora vietnieks (izglītības jomā),Vadītājs (izglītības jomā),Vadītājs/direktors (izglītības jomā),Vispārējās pamatizglītības skolotājs,Vispārējās vidējās izglītības skolotājs
RĪGA,3901802990,"Pirmsskolas izglītības iestāde ""Protu protu""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,010000,4,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
RĪGA,3901803077,"Privātā pirmsskolas izglītības iestāde ""Six Senses International Preschool""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,010000,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
RĪGA,3901803086,"Privātā pirmsskolas izglītības iestāde ""Meža pasaka"" ",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,010000,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
RĪGA,3901803096,"Privātā pirmsskolas izglītības iestāde ""Saules Dārzs Mežaparkā""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,010000,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
RĪGA,3901901664,Rīgas 223. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,17,22,,,,,,,,,,,,,,,,,,,,1,12,4,,,,,,,2,,,1,,,,,,1,,1,,
RĪGA,3901901666,Rīgas 42. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,15,15,,,,,,,,,,,,,,,,,,,,1,10,1,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901901667,"Rīgas 5. pirmsskolas izglītības iestāde ""Čiekuriņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,10,10,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,1,,,,,,,,1,,,1,,
RĪGA,3901901668,"Rīgas pirmsskolas izglītības iestāde ""Viršu dārzs""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,10,10,,,,,,,,,,,,,,,,,,,1,1,5,1,,,,,,,1,,,,,,,,,,,1,,
RĪGA,3901901669,"Rīgas 21. pirmsskolas izglītības iestāde ""Laimiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,16,17,,,,,,,,,,,,,,,,,,,,2,11,1,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901901680,"Rīgas 135. pirmsskolas izglītības iestāde ""Liepziediņi""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,13,13,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,1,,,,,,,,1,,,1,,
RĪGA,3901901700,"Rīgas pirmsskolas izglītības iestāde ""Liepiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,14,14,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901901701,Rīgas 169. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,32,33,,,,,,,,,,,,,,,,,,,,3,24,2,,,,,,,1,,,,,,,,,2,,1,,
RĪGA,3901901702,Rīgas 161. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,16,18,,,,,,,,,,,,,,,,,,,,1,12,1,,,,,,,1,,,,,,,,,2,,1,,
RĪGA,3901901703,Rīgas 232. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,26,27,,,,,,,,,,,,,,,,,,,,2,21,1,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901901742,Rīgas 192. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,14,14,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,1,,1,,
RĪGA,3901901755,Rīgas 36. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,12,12,,,,,,,,,,,,,,,,,,,1,1,8,,,,,,,,1,,,,,,,,,,1,,,
RĪGA,3901901866,Rīgas 15. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,10,10,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901901911,Rīgas 110. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,22,24,,,,,,,,,,,,,,,,,,,,2,18,1,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901901971,"Rīgas pirmsskolas izglītības iestāde ""Ābelīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,12,14,,,,,,,,,,,,,,,,,,,1,1,9,1,,,,,,,1,,,,,,,,,,,1,,
RĪGA,3901902007,"Rīgas pirmsskolas izglītības iestāde ""Rūķītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,23,23,,,,,,,,,,,,,,,,,,,,2,17,1,,,,,,,1,,,,,,,,,1,1,,,
RĪGA,3901902657,"Rīgas pirmsskolas izglītības iestāde ""Blāzmiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,18,18,,,,,,,,,,,,,,,,,,,,2,12,1,,,,,,,1,,,,,,,,,1,,1,,
RĪGA,3901903307,"Rīgas pirmsskolas izglītības iestāde ""Pienenītes""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,24,25,,,,,,,,,,,,,,,,,,,1,3,16,1,,,,,,,2,,,,,,,,,1,1,,,
RĪGA,3901903397,"Rīgas pirmsskolas izglītības iestāde ""Mežaparks""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,010000,30,30,,,,,,,,,,,,1,,,,,,,1,2,16,2,,,,,,,1,,,5,,,,,,1,1,,,
RĪGA,3911803029,Rīgas Montessori sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Juridiska vai fiziska persona,010000,3,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1
RĪGA,3912802830,ŽILA VERNA RĪGAS FRANČU SKOLA,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Juridiska vai fiziska persona,010000,23,26,,,,,,,,,,,,,,,,,1,,,,6,1,,,12,,,,,,,,,,,,,,,,6,
RĪGA,3912900813,Rīgas 7. pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,010000,26,46,,,,,,9,,2,,,2,1,,4,,,,,,,,,,,,,,,1,,1,1,,2,,,,,,,23,
RĪGA,3912903313,Rīgas Čiekurkalna pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,010000,42,66,,1,,,,12,,1,,,,1,,6,1,1,1,,,1,8,,,,,,,,2,1,1,1,,2,,,,,,1,25,
RĪGA,3913803014,RTU inženierzinātņu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Juridiska vai fiziska persona,010000,19,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,18
RĪGA,3913900817,Rīgas 13. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,60,84,,,1,,,8,,1,,1,,1,,7,,,3,,,,,,,,,,,,1,,1,,,1,,,,5,,,32,22
RĪGA,3913900818,Rīgas Rīnūžu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,92,144,,,,,,24,,2,,1,,1,1,18,,1,12,,,1,9,,,,,,,,2,,1,,,2,,,,6,,1,28,34
RĪGA,3913900820,Rīgas Jāņa Poruka vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,38,69,,,,,,12,,1,,,,1,1,8,,,1,1,,,,,,,,,,,1,,1,1,,3,,,,5,,1,10,22
RĪGA,3913900821,Puškina licejs,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,65,90,,,,,,11,,1,,1,,2,1,5,,,,,,,,,,,,,,,1,,1,,,3,,,,6,,1,25,32
RĪGA,3913900823,Rīgas 28. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,35,65,,,,,,14,,1,,1,3,1,1,8,,,1,1,,,,,,,,,,,1,,1,,,2,,,,2,,1,14,13
RĪGA,3913900824,Rīgas 10. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,79,103,,,,,,5,,3,,,,2,2,8,,,1,,,,,,,,,,,,1,,1,,,3,,,,6,,1,38,32
RĪGA,3913900826,Rīgas 31. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,54,107,,,,,,15,,2,,1,,1,1,10,,,22,1,,,,,,,,,,,1,,1,1,,3,,,,4,,1,21,22
RĪGA,3913900827,Rīgas 46. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,56,79,,,,,,12,,2,,,,1,,6,,,,,,,,,,,,,,,1,,2,1,,3,,,,4,,1,36,10
RĪGA,3913901617,Rīgas Kultūru vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,86,125,,,,,,17,,2,,,,2,1,8,,,,1,,,,,,,,,,,1,,1,1,,1,,,,4,,1,48,37
RĪGA,3913903312,Rīgas 18. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,38,53,,,1,,,7,,1,,1,,1,,,,,1,,,,,,,,,,,,,,1,1,,1,,,,4,,,8,26
RĪGA,3913903377,Rīgas 66. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,010000,62,100,,,,,,8,,1,,,,1,2,12,,,15,,,,,,,,,,,,2,,1,,,1,,,,4,,1,13,39
RĪGA,3919902869,Rīgas Valsts 2. ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,010000,77,107,,,,,,17,,2,,1,3,1,2,,,,,1,,,,,,,,,,,,,1,,,5,,,,8,,1,6,59
RĪGA,4301802975,"Privātā pirmsskolas izglītības iestāde ""Saules Dārzs""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,010000,2,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
ROJAS NOVADS,4101901938,"Rojas pirmsskolas izglītības iestāde ""Zelta zivtiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,888301,10,13,,,,,,,,,,,1,,,,,,,,,1,8,1,,,,,,,1,,,,,,,,,,,1,,
ROJAS NOVADS,4101902705,"Rojupes pirmsskolas izglītības iestāde ""SAULESPUĶE""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,888301,9,11,,,,,,,,,,,,,,,,,,,1,1,6,1,,,,,,,1,,,,,,,,,,,1,,
ROJAS NOVADS,4113900619,Rojas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,888301,44,70,,,,,,16,,1,,,,1,,,,,,1,2,1,3,1,,,1,2,1,,2,,1,1,,,,,,1,,,9,26
ROPAŽU NOVADS,4301901871,"Ropažu novada pašvaldības pirmsskolas izglītības iestāde ""Annele""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,808400,31,31,,,,,,,,,,,,1,,,,,,,,1,24,1,,,,,,,2,,,1,,,,,1,,,,,
ROPAŽU NOVADS,4313903319,Ropažu novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,808400,95,136,,,,,,16,,2,,,,2,,18,,,7,,,1,13,1,,,,,,,3,,2,2,,,,,,6,,1,47,15
RUCAVAS NOVADS,4101901773,"Rucavas pirmsskolas izglītības iestāde ""Zvaniņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,648584,6,9,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,1,,1,,,,,,,,,1,,
RUCAVAS NOVADS,4112901043,Sikšņu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,648552,13,22,,,,,,6,,,,,,,,,,,,,,1,2,,,,,,1,,1,,,1,,,,,,1,,,9,
RUCAVAS NOVADS,4112902528,Rucavas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,648584,17,24,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,14,
RUGĀJU NOVADS,4212900422,Rugāju novada Eglaines pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,387564,22,53,,1,,,,8,,1,,,,1,,3,,,,,,1,4,,,,,1,1,,1,,,1,9,,,,,,,,21,
RUGĀJU NOVADS,4213902769,Rugāju novada vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,387574,31,63,,,,,,8,,1,,,,1,,5,,,1,,1,1,5,1,,,,2,1,,1,,,,,,,,,,,,21,14
RUNDĀLES NOVADS,4501901907,"Rundāles novada pirmsskolas izglītības iestāde ""Mārpuķīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,407776,17,17,,,,,,1,,,,,,,,,,,,,,1,12,1,,,,,,,,,,,,,,,,1,,1,,
RUNDĀLES NOVADS,4501903366,"Rundāles novada pirmsskolas izglītības iestāde ""Saulespuķe""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,407776,17,17,,,,,,,,,,,,1,,,,,,,,1,10,1,,,,,,,1,,,,1,,,,,1,1,,,
RUNDĀLES NOVADS,4513901324,Pilsrundāles vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,407776,47,76,,,,,,9,,2,,,,1,2,7,,4,,,,,6,,7,,6,,1,,1,,1,,,,,,,2,,,15,12
RŪJIENAS NOVADS,4401903382,"Rūjienas pirmsskolas izglītības iestāde ""Vārpiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,961615,37,42,,,,,,2,,,,,,1,,,,,,,,1,26,3,,,,,,,4,,,2,,,,,1,1,1,,,
RŪJIENAS NOVADS,4413903084,Rūjienas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,961615,54,70,,3,,,,13,,1,,,,,,,,,3,,,,,,,,,,1,,1,,1,,,,,,,,,,26,21
SALACGRĪVAS NOVADS,4301900538,"Pirmsskolas izglītības iestāde ""Vilnītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,661415,29,33,,,,,,3,,,,,,1,,,,,,,,2,20,1,,,,,,,3,,,,1,,,,,1,,1,,
SALACGRĪVAS NOVADS,4312900160,Krišjāņa Valdemāra Ainažu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,661405,20,39,,,,,,6,,1,,,,1,,,,,,,,1,3,,,,,,1,,1,,,,10,,,,,2,,,13,
SALACGRĪVAS NOVADS,4312903215,Liepupes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,661460,26,44,,,,,,10,,1,,,,1,,4,,,,,,1,5,1,,,,,,,1,,,,,,,,,1,,1,18,
SALACGRĪVAS NOVADS,4313900159,Salacgrīvas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,661415,46,60,,,,,,11,,1,,,,1,,,,,,1,,,,,,,,3,1,,1,,,1,,,,,,,,,21,19
SALAS NOVADS,4501901635,"Salas novada pašvaldības pirmsskolas izglītības iestāde ""Ābelīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,568786,17,18,,,,,,,,,,,,,,,,,,,1,1,14,1,,,,,,,1,,,,,,,,,,,,,
SALAS NOVADS,4512903237,Biržu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,568786,25,47,,1,,,,11,1,1,,,,,,4,,,5,,,,4,,,,,1,1,,1,,,,,,,,,,,,17,
SALAS NOVADS,4513900261,Salas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,568786,33,52,,1,,,,10,,1,,,1,1,,5,,,,,,,,,,,,2,1,,1,,,,,,,,,1,,,13,15
SALASPILS NOVADS,4301901674,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Ritenītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801211,26,26,,,,,,,,,,,,1,,,,,,,,1,20,2,,,,,,,1,,,1,,,,,,,,,,
SALASPILS NOVADS,4301901675,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Saime""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801211,18,18,,,,,,,,,,,,1,,,,,,,,1,11,2,,,,,,,1,,,1,,,,,,1,,,,
SALASPILS NOVADS,4301901677,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Daugaviņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801231,20,22,,,,,,,,,,,,1,,,,,,,,1,12,3,,,,,,,3,,,1,,,,,,1,,,,
SALASPILS NOVADS,4301902662,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Salaspils 1.pirmsskola""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801211,56,56,,,,,,,,,,,,2,,,,,,,,3,41,5,,,,,,,3,,,,,,,,,2,,,,
SALASPILS NOVADS,4301902781,"Salaspils novada pašvaldības pirmsskolas izglītības iestāde ""Atvasīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801211,19,19,,,,,,,,,,,,1,,,,,,,,2,11,1,,,,,,,2,,,1,,,,,,1,,,,
SALASPILS NOVADS,4313901008,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,801211,94,112,,,,,,17,,1,,,,1,,,,,,,,,,,,,,6,1,,1,,,1,,,,,,,,,58,26
SALASPILS NOVADS,4313901092,"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,801211,68,92,,,,,,17,,1,,,,1,,3,,,,,,,,,,,,4,1,,1,,,1,,,,,,,,,29,34
SALDUS NOVADS,4101900629,"Saldus pirmsskolas izglītības iestāde ""Zīlīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840201,17,17,,,,,,,,,,,,,,,,,,,,1,12,1,,,,,,,1,,,,,,,,,1,,1,,
SALDUS NOVADS,4101901601,"Saldus pirmsskolas izglītības iestāde ""Īkstīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840201,12,13,,,,,,,,,,,,,,,,,,,1,1,8,1,,,,,,,1,,,,,,,,,,,1,,
SALDUS NOVADS,4101901611,"Saldus pirmsskolas izglītības iestāde ""Pasaciņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840201,31,32,,,,,,,,,,,,,,,,,,,,2,24,1,,,,,,,3,,,,,,,,,1,,1,,
SALDUS NOVADS,4101901613,"Saldus pirmsskolas izglītības iestāde ""Sienāzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840201,16,16,,,,,,,,,,,,,,,,,,,,2,10,1,,,,,,,1,,,,,,,,,1,,1,,
SALDUS NOVADS,4101901615,"Saldus novada pašvaldības Lutriņu pirmsskolas izglītības iestāde ""Kāpēcītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840266,9,10,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,1,,,,,,,,,,,1,,
SALDUS NOVADS,4101902000,"Saldus pagasta pirmsskolas izglītības iestāde ""Graudiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840286,19,19,,,,,,,,,,,,,,,,,,,,1,13,1,,,,,,,2,,,,,,,,1,,,1,,
SALDUS NOVADS,4101902052,"Saldus novada pašvaldības Nīgrandes pirmsskolas izglītības iestāde ""Straumīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840270,9,9,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,1,,,,,,,,,,,1,,
SALDUS NOVADS,4111903181,Saldus novada pašvaldības Striķu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,840298,23,31,,,,,,3,,,,,,,,,,,,,,,9,,,,,,1,,1,,,,,,,,,1,,,16,
SALDUS NOVADS,4111903317,Saldus novada pašvaldības Jaunlutriņu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,840258,15,20,,,,,,2,,1,,,,,,,,,,,,,5,,,,,,,,1,,,1,,,,,,,,1,9,
SALDUS NOVADS,4111903326,Saldus novada pašvaldības Pampāļu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,840276,15,20,,,,,,2,,,,,,,,,,,,,,2,6,,,,,,1,,1,,,,,,,,,,,,8,
SALDUS NOVADS,4112900012,Saldus novada pašvaldības Lutriņu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840266,17,25,,,,,,5,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,16,
SALDUS NOVADS,4112900014,Saldus pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840201,40,53,,,,,,7,,1,,,,1,,,,,1,,,,,,,,,4,1,,1,,1,,,,,,,,,,36,
SALDUS NOVADS,4112900627,Saldus novada pašvaldības Rubas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840282,16,23,,,,,,5,,1,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,12,
SALDUS NOVADS,4112901264,Saldus novada pašvaldības Zirņu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840296,26,37,,1,,,,7,,1,,,,,,,,,,,,,7,,,,2,,1,,1,,1,,2,,,,,,,,14,
SALDUS NOVADS,4112901332,Cieceres pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840201,38,61,,,,,,9,10,1,,,,1,,,,,3,,,,,,,,,1,1,,1,,1,,,,,,,1,,,32,
SALDUS NOVADS,4112903134,Saldus novada pašvaldības Ezeres pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840248,28,42,,,,,,9,,1,,,,1,,,,,1,,,1,7,,,,,,1,,1,,,2,1,,,,,1,,,16,
SALDUS NOVADS,4113900415,Saldus novada pašvaldības Druvas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,840286,66,89,,1,,,,13,,2,,,,,,,,,,1,,,,,,,2,5,1,,1,,1,,,,,,,,,,26,36
SALDUS NOVADS,4113900416,Nīgrandes pagasta Kalnu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,840270,28,40,,,,,,8,,2,,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,1,,1,12,12
SALDUS NOVADS,4113903122,Saldus vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,840201,74,101,,,,,,18,,2,,,,1,,,,,,,,,3,,,,18,,,,1,,2,,,,,,,6,,1,22,27
SALDUS NOVADS,4122903247,Kalnsētas pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,840201,62,104,,1,,,,7,20,1,,,,2,,,,,6,,,1,17,1,,8,,,,,6,,,4,27,,,,,2,,1,,
SALDUS NOVADS,4134003109,Saldus tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās izglītības kompetences centrs,Izglītības un zinātnes ministrija,840201,74,104,,2,,,,10,2,1,,,1,1,,,,,,,,,,,,57,,2,1,,,,1,,,,,,,,,,,26
SAULKRASTU NOVADS,4301901862,"Saulkrastu pirmsskolas izglītības iestāde ""Rūķītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,801413,39,41,,,,,,,,,,,,1,,,,,,,1,2,31,1,,,,,,,2,,,1,,,,,,1,,1,,
SAULKRASTU NOVADS,4313901093,Saulkrastu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,801413,48,77,,,,1,,15,,1,,,,,,8,,,4,,,,,,,,8,,1,,,,1,2,,,,,,2,,,23,11
SAULKRASTU NOVADS,4313901120,Zvejniekciema vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,801433,35,55,,,,,,9,,1,,,,1,1,3,,,,,,1,4,1,,,1,,,,1,,1,,,,,,,1,,1,17,12
SĒJAS NOVADS,4301901908,"Sējas novada pirmsskolas izglītības iestāde ""Bitīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,809200,14,14,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,1,,,,,,,,,,,,,
